node,degree,clustering_coefficient,degree_group
R_16563587,15,0.0761904761904762,"(13.0, 15.4]"
R_927442,18,0.12418300653594772,"(17.8, 20.2]"
R_4407129,4,0.16666666666666666,"(3.4, 5.8]"
R_176278485,4,0.0,"(3.4, 5.8]"
R_11225014,9,0.027777777777777776,"(8.2, 10.6]"
R_156018,6,0.0,"(5.8, 8.2]"
R_422821402,2,0.0,"(0.975, 3.4]"
R_41986369,9,0.25,"(8.2, 10.6]"
R_48833910,8,0.25,"(5.8, 8.2]"
R_24494032,13,0.0641025641025641,"(10.6, 13.0]"
R_6838921,10,0.2222222222222222,"(8.2, 10.6]"
R_206444,12,0.30303030303030304,"(10.6, 13.0]"
R_150954997,8,0.17857142857142858,"(5.8, 8.2]"
R_6934395,24,0.06159420289855073,"(22.6, 25.0]"
R_334274271,9,0.2777777777777778,"(8.2, 10.6]"
R_341631350,9,0.2777777777777778,"(8.2, 10.6]"
R_507775,18,0.13071895424836602,"(17.8, 20.2]"
R_17224514,2,0.0,"(0.975, 3.4]"
R_17165658,16,0.23333333333333334,"(15.4, 17.8]"
R_50229487,3,1.0,"(0.975, 3.4]"
R_23418517,10,0.37777777777777777,"(8.2, 10.6]"
R_453068084,14,0.27472527472527475,"(13.0, 15.4]"
R_302827809,7,0.47619047619047616,"(5.8, 8.2]"
R_138754790,15,0.20952380952380953,"(13.0, 15.4]"
R_56128733,3,0.3333333333333333,"(0.975, 3.4]"
R_9342529,9,0.3611111111111111,"(8.2, 10.6]"
R_358917318,17,0.20588235294117646,"(15.4, 17.8]"
R_20587599,11,0.32727272727272727,"(10.6, 13.0]"
R_393235957,3,0.3333333333333333,"(0.975, 3.4]"
R_5349565,10,0.37777777777777777,"(8.2, 10.6]"
R_11008207,4,0.16666666666666666,"(3.4, 5.8]"
R_30753733,3,0.3333333333333333,"(0.975, 3.4]"
R_114187903,12,0.045454545454545456,"(10.6, 13.0]"
R_456549280,5,0.3,"(3.4, 5.8]"
R_208728772,5,0.1,"(3.4, 5.8]"
R_166515022,20,0.15789473684210525,"(17.8, 20.2]"
R_20473418,3,0.6666666666666666,"(0.975, 3.4]"
R_20089857,5,0.4,"(3.4, 5.8]"
R_60246359,25,0.06333333333333334,"(22.6, 25.0]"
R_160999,5,0.0,"(3.4, 5.8]"
R_581145740,3,0.3333333333333333,"(0.975, 3.4]"
R_130688011,5,0.1,"(3.4, 5.8]"
R_678214856,5,0.2,"(3.4, 5.8]"
R_606433492,6,0.3333333333333333,"(5.8, 8.2]"
R_574588439,3,0.3333333333333333,"(0.975, 3.4]"
R_551374215,4,0.16666666666666666,"(3.4, 5.8]"
R_19257422,4,0.5,"(3.4, 5.8]"
R_198683574,3,0.0,"(0.975, 3.4]"
R_182849188,8,0.32142857142857145,"(5.8, 8.2]"
R_6358188,3,0.0,"(0.975, 3.4]"
R_385634291,3,0.3333333333333333,"(0.975, 3.4]"
R_184981,2,0.0,"(0.975, 3.4]"
R_351806852,3,0.6666666666666666,"(0.975, 3.4]"
R_84240850,2,1.0,"(0.975, 3.4]"
R_44781140,3,0.6666666666666666,"(0.975, 3.4]"
R_114619105,7,0.38095238095238093,"(5.8, 8.2]"
R_33745913,15,0.047619047619047616,"(13.0, 15.4]"
R_55072677,4,0.16666666666666666,"(3.4, 5.8]"
R_388946490,12,0.2727272727272727,"(10.6, 13.0]"
R_99919302,8,0.35714285714285715,"(5.8, 8.2]"
R_2649214,1,0.0,"(0.975, 3.4]"
R_3786237,6,0.26666666666666666,"(5.8, 8.2]"
R_195619075,2,0.0,"(0.975, 3.4]"
R_94593596,4,0.0,"(3.4, 5.8]"
R_478288303,1,0.0,"(0.975, 3.4]"
R_31006158,1,0.0,"(0.975, 3.4]"
R_13124802,7,0.047619047619047616,"(5.8, 8.2]"
R_61153677,2,1.0,"(0.975, 3.4]"
R_150013328,4,0.0,"(3.4, 5.8]"
R_339993112,2,0.0,"(0.975, 3.4]"
R_80087836,3,0.0,"(0.975, 3.4]"
R_19961085,7,0.09523809523809523,"(5.8, 8.2]"
R_480217156,11,0.2727272727272727,"(10.6, 13.0]"
R_510375115,3,0.6666666666666666,"(0.975, 3.4]"
R_496817075,2,1.0,"(0.975, 3.4]"
R_105944401,14,0.07692307692307693,"(13.0, 15.4]"
R_125824259,4,0.5,"(3.4, 5.8]"
R_50647838,2,0.0,"(0.975, 3.4]"
R_60377070,1,0.0,"(0.975, 3.4]"
R_108110,4,0.0,"(3.4, 5.8]"
R_34839383,1,0.0,"(0.975, 3.4]"
R_23405758,5,0.2,"(3.4, 5.8]"
R_11695619,1,0.0,"(0.975, 3.4]"
R_268163609,8,0.17857142857142858,"(5.8, 8.2]"
R_357707809,4,0.5,"(3.4, 5.8]"
R_49876476,4,0.0,"(3.4, 5.8]"
R_220186120,1,0.0,"(0.975, 3.4]"
R_79317191,4,0.0,"(3.4, 5.8]"
R_442441933,1,0.0,"(0.975, 3.4]"
R_50874442,1,0.0,"(0.975, 3.4]"
R_2944302,1,0.0,"(0.975, 3.4]"
R_298763623,1,0.0,"(0.975, 3.4]"
R_49412556,7,0.19047619047619047,"(5.8, 8.2]"
R_19816070,2,0.0,"(0.975, 3.4]"
R_462329984,1,0.0,"(0.975, 3.4]"
R_143436277,1,0.0,"(0.975, 3.4]"
R_41349039,2,0.0,"(0.975, 3.4]"
R_1917262,2,0.0,"(0.975, 3.4]"
R_911980,3,0.0,"(0.975, 3.4]"
R_95817032,2,0.0,"(0.975, 3.4]"
R_77385607,5,0.2,"(3.4, 5.8]"
R_30449481,7,0.14285714285714285,"(5.8, 8.2]"
R_206424,2,0.0,"(0.975, 3.4]"
R_546206616,3,1.0,"(0.975, 3.4]"
R_84458512,3,0.0,"(0.975, 3.4]"
R_6650539,3,0.0,"(0.975, 3.4]"
R_346976717,3,0.0,"(0.975, 3.4]"
R_2524488,4,0.16666666666666666,"(3.4, 5.8]"
R_449924556,2,0.0,"(0.975, 3.4]"
R_198466472,1,0.0,"(0.975, 3.4]"
R_34533675,3,0.3333333333333333,"(0.975, 3.4]"
R_396856161,1,0.0,"(0.975, 3.4]"
R_396867188,2,1.0,"(0.975, 3.4]"
R_7083240,2,1.0,"(0.975, 3.4]"
R_542714,4,0.0,"(3.4, 5.8]"
R_1050944,2,0.0,"(0.975, 3.4]"
R_276293034,4,0.0,"(3.4, 5.8]"
R_141376301,4,0.16666666666666666,"(3.4, 5.8]"
R_660776503,6,0.0,"(5.8, 8.2]"
R_432844875,1,0.0,"(0.975, 3.4]"
R_607441698,2,0.0,"(0.975, 3.4]"
R_28738447,1,0.0,"(0.975, 3.4]"
R_372536760,5,0.6,"(3.4, 5.8]"
R_146459443,1,0.0,"(0.975, 3.4]"
R_47973088,4,0.16666666666666666,"(3.4, 5.8]"
R_420965027,3,0.3333333333333333,"(0.975, 3.4]"
R_54005538,2,0.0,"(0.975, 3.4]"
R_510607652,1,0.0,"(0.975, 3.4]"
R_49670957,2,0.0,"(0.975, 3.4]"
R_644742603,2,1.0,"(0.975, 3.4]"
R_507829396,1,0.0,"(0.975, 3.4]"
R_125234630,1,0.0,"(0.975, 3.4]"
R_23247808,1,0.0,"(0.975, 3.4]"
R_124315604,1,0.0,"(0.975, 3.4]"
R_39519916,1,0.0,"(0.975, 3.4]"
R_473235285,1,0.0,"(0.975, 3.4]"
R_207663235,1,0.0,"(0.975, 3.4]"
R_168712350,1,0.0,"(0.975, 3.4]"
R_90541149,5,0.5,"(3.4, 5.8]"
R_291675222,1,0.0,"(0.975, 3.4]"
R_5683653,3,0.6666666666666666,"(0.975, 3.4]"
R_3788366,1,0.0,"(0.975, 3.4]"
R_92329433,1,0.0,"(0.975, 3.4]"
R_528766495,2,1.0,"(0.975, 3.4]"
R_73235061,2,0.0,"(0.975, 3.4]"
R_206403,1,0.0,"(0.975, 3.4]"
R_50594316,1,0.0,"(0.975, 3.4]"
R_679889516,1,0.0,"(0.975, 3.4]"
R_7502247,1,0.0,"(0.975, 3.4]"
R_349627612,1,0.0,"(0.975, 3.4]"
R_49401416,2,0.0,"(0.975, 3.4]"
R_9074548,1,0.0,"(0.975, 3.4]"
R_52507351,1,0.0,"(0.975, 3.4]"
R_453191009,1,0.0,"(0.975, 3.4]"
R_321853986,1,0.0,"(0.975, 3.4]"
R_8039659,1,0.0,"(0.975, 3.4]"
R_722854801,1,0.0,"(0.975, 3.4]"
R_7561862,2,0.0,"(0.975, 3.4]"
